"filename", "language", "PostCSS", "JavaScript", "HTML", "JSON", "comment", "blank", "total"
"/Users/lenale/courses/1dv610/laboration/laboration-3/mini-math-quiz/package.json", "JSON", 0, 0, 0, 20, 0, 1, 21
"/Users/lenale/courses/1dv610/laboration/laboration-3/mini-math-quiz/src/css/styles.css", "PostCSS", 0, 0, 0, 0, 0, 1, 1
"/Users/lenale/courses/1dv610/laboration/laboration-3/mini-math-quiz/src/index.html", "HTML", 0, 0, 13, 0, 0, 3, 16
"/Users/lenale/courses/1dv610/laboration/laboration-3/mini-math-quiz/src/js/calculator-module/Calculator.js", "JavaScript", 0, 40, 0, 0, 50, 11, 101
"/Users/lenale/courses/1dv610/laboration/laboration-3/mini-math-quiz/src/js/calculator-module/Evaluator.js", "JavaScript", 0, 57, 0, 0, 71, 11, 139
"/Users/lenale/courses/1dv610/laboration/laboration-3/mini-math-quiz/src/js/calculator-module/Helpers.js", "JavaScript", 0, 15, 0, 0, 26, 5, 46
"/Users/lenale/courses/1dv610/laboration/laboration-3/mini-math-quiz/src/js/calculator-module/History.js", "JavaScript", 0, 17, 0, 0, 34, 5, 56
"/Users/lenale/courses/1dv610/laboration/laboration-3/mini-math-quiz/src/js/calculator-module/Parser.js", "JavaScript", 0, 80, 0, 0, 65, 18, 163
"/Users/lenale/courses/1dv610/laboration/laboration-3/mini-math-quiz/src/js/calculator-module/ShuntingYard.js", "JavaScript", 0, 42, 0, 0, 42, 10, 94
"/Users/lenale/courses/1dv610/laboration/laboration-3/mini-math-quiz/src/js/components/difficulty-form/difficulty-form.js", "JavaScript", 0, 62, 0, 0, 15, 6, 83
"/Users/lenale/courses/1dv610/laboration/laboration-3/mini-math-quiz/src/js/components/nickname-form/nickname-form.js", "JavaScript", 0, 42, 0, 0, 17, 8, 67
"/Users/lenale/courses/1dv610/laboration/laboration-3/mini-math-quiz/src/js/components/quiz-app/quiz-app.js", "JavaScript", 0, 64, 0, 0, 31, 21, 116
"/Users/lenale/courses/1dv610/laboration/laboration-3/mini-math-quiz/src/js/components/quiz-question/quiz-question.js", "JavaScript", 0, 33, 0, 0, 13, 5, 51
"/Users/lenale/courses/1dv610/laboration/laboration-3/mini-math-quiz/src/js/index.js", "JavaScript", 0, 5, 0, 0, 6, 2, 13
"/Users/lenale/courses/1dv610/laboration/laboration-3/mini-math-quiz/src/js/questions.js", "JavaScript", 0, 24, 0, 0, 1, 2, 27
"Total", "-", 0, 481, 13, 20, 371, 109, 994
